feature_id,gadm_admin.GID_0,x,y
AGO.2.7_1,AGO,14.34957763,-13.16149142
AGO.2.8_1,AGO,14.73392087,-13.12213196
AGO.2.9_1,AGO,13.84937787,-12.16171621
AGO.3.1_1,AGO,16.46329971,-11.27465895
AGO.3.2_1,AGO,17.78022798,-12.45168151
AGO.3.3_1,AGO,17.25434181,-12.14793925
AGO.3.4_1,AGO,16.57220236,-12.56296103
AGO.3.5_1,AGO,17.22566854,-13.47613757
AGO.3.6_1,AGO,18.4508764,-11.81258397
AGO.3.7_1,AGO,16.80648504,-11.98824561
AGO.3.8_1,AGO,17.01953378,-12.53905341
AGO.3.9_1,AGO,17.15772491,-11.30860298
AGO.4.1_1,AGO,12.84383173,-4.59109555
AGO.4.2_1,AGO,12.54952939,-4.8109707
AGO.4.3_1,AGO,12.36433623,-5.45626654
AGO.4.4_1,AGO,12.24288753,-5.04490538
AGO.5.1_1,AGO,19.41498743,-17.36971149
AGO.5.2_1,AGO,18.15474932,-17.05695417
AGO.5.3_1,AGO,16.96257976,-14.6928912
AGO.5.4_1,AGO,18.84135504,-14.95015038
AGO.5.5_1,AGO,20.82417916,-17.52794344
AGO.5.6_1,AGO,20.29209111,-16.12497728
AGO.5.7_1,AGO,17.74537365,-15.22570994
AGO.5.8_1,AGO,18.73240829,-16.3888263
AGO.5.9_1,AGO,21.95064318,-16.86151553
AGO.6.1_1,AGO,15.50911905,-8.2232691
AGO.6.2_1,AGO,15.20161637,-8.7220435
AGO.6.3_1,AGO,15.09017198,-8.45683032
AGO.6.4_1,AGO,14.82090875,-8.63447565
AGO.6.5_1,AGO,14.59043917,-9.53522904
AGO.6.6_1,AGO,14.77987095,-9.32003168
AGO.6.7_1,AGO,14.55245266,-8.50665668
AGO.6.8_1,AGO,14.66638771,-9.07650792
AGO.6.9_1,AGO,15.23825865,-9.13926728
AGO.6.10_1,AGO,14.90166341,-8.90256377
AGO.6.11_1,AGO,14.3490387,-8.91080826
AGO.6.12_1,AGO,15.31962578,-8.49002908
AGO.6.13_1,AGO,15.4946207,-8.80851521
AGO.7.1_1,AGO,14.40944605,-10.88824731
AGO.7.2_1,AGO,14.969246,-11.82348628
AGO.7.3_1,AGO,14.45711319,-11.17346967
AGO.7.4_1,AGO,14.75635544,-10.95431133
AGO.7.5_1,AGO,14.99054012,-10.06346354
AGO.7.6_1,AGO,15.97865898,-10.26878659
AGO.7.7_1,AGO,13.94228373,-10.62780555
AGO.7.8_1,AGO,15.3357131,-10.69900851
AGO.7.9_1,AGO,14.37023742,-10.52449186
AGO.7.10_1,AGO,14.50091627,-11.45758772
AGO.7.11_1,AGO,14.04934311,-11.49811492
AGO.7.12_1,AGO,15.32750914,-11.28661139
AGO.8.1_1,AGO,14.24766909,-16.41710354
AGO.8.2_1,AGO,16.3205476,-16.48223335
AGO.8.3_1,AGO,13.78870667,-16.93281085
AGO.8.4_1,AGO,16.13614643,-15.74636816
AGO.8.5_1,AGO,16.60738831,-17.0751806
AGO.8.6_1,AGO,14.94267903,-16.76758154
AGO.9.1_1,AGO,15.8504662,-11.95005047
AGO.9.2_1,AGO,15.5721882,-13.27102876
AGO.9.3_1,AGO,16.3196442,-12.75942153
AGO.9.4_1,AGO,15.49134958,-12.53401934
AGO.9.5_1,AGO,15.7953657,-12.81932431
AGO.9.6_1,AGO,15.29201505,-12.23599659
AGO.9.7_1,AGO,15.22279517,-13.08475782
AGO.9.8_1,AGO,16.20588037,-11.75507295
AGO.9.9_1,AGO,16.09270611,-12.95985009
AGO.9.10_1,AGO,14.94010756,-12.81878167
AGO.9.11_1,AGO,15.15058242,-12.74503336
AGO.10.1_1,AGO,15.15841637,-13.77837646
AGO.10.2_1,AGO,14.55150593,-14.06205625
AGO.10.3_1,AGO,13.86096332,-15.22031945
AGO.10.4_1,AGO,15.0194217,-14.30430436
AGO.10.5_1,AGO,15.73591829,-13.88531948
AGO.10.6_1,AGO,14.05554418,-15.8363803
AGO.10.7_1,AGO,13.37340826,-15.0771162
AGO.10.8_1,AGO,15.84246469,-14.81313632
AGO.10.9_1,AGO,16.31871698,-14.21406706
AGO.10.10_1,AGO,13.83106385,-14.73061023
AGO.10.11_1,AGO,15.16256952,-15.26403538
AGO.10.12_1,AGO,13.95361167,-14.13996325
AGO.10.13_1,AGO,14.55774819,-15.05856933
AGO.11.1_1,AGO,13.47504308,-8.78267479
AGO.11.2_1,AGO,13.2987174,-8.82576926
AGO.11.3_1,AGO,13.24040624,-8.80858097
AGO.11.4_1,AGO,13.24877805,-8.88755204
AGO.11.5_1,AGO,13.21959817,-8.85690254
AGO.11.6_1,AGO,13.26227793,-8.82757249
AGO.11.7_1,AGO,13.12512277,-9.00893557
AGO.11.8_1,AGO,13.28781996,-8.78618866
AGO.11.9_1,AGO,13.29226455,-9.06735091
AGO.12.1_1,AGO,21.49590273,-7.90007858
AGO.12.2_1,AGO,18.84223991,-9.75442986
AGO.12.3_1,AGO,18.82355134,-8.34202081
AGO.12.4_1,AGO,20.40661935,-7.39223551
AGO.12.5_1,AGO,18.06092305,-8.60144667
AGO.12.6_1,AGO,19.68947623,-8.12770063
AGO.12.7_1,AGO,19.31484845,-9.23993338
AGO.12.8_1,AGO,20.47677859,-8.42276108
AGO.12.9_1,AGO,18.01595659,-9.60393893
AGO.13.1_1,AGO,19.20487661,-10.66500312
AGO.13.2_1,AGO,20.35223884,-10.92405164
AGO.13.3_1,AGO,21.42553716,-10.15405844
AGO.13.4_1,AGO,20.69152295,-9.47530707
AGO.14.1_1,AGO,15.62849098,-9.49029247
AGO.14.2_1,AGO,16.00524518,-8.69599018
AGO.14.3_1,AGO,17.4461524,-10.12269516
AGO.14.4_1,AGO,16.68325275,-9.95236702
AGO.14.5_1,AGO,16.6660539,-8.64710237
AGO.14.6_1,AGO,16.45736622,-9.03797169
AGO.14.7_1,AGO,17.35272898,-8.66125398
AGO.14.8_1,AGO,17.38498668,-10.79287418
AGO.14.9_1,AGO,16.35498305,-9.48247478
AGO.14.10_1,AGO,17.11217632,-8.16764324
AGO.14.11_1,AGO,16.6005048,-7.76305684
AGO.14.12_1,AGO,16.91936556,-9.48180474
AGO.14.13_1,AGO,17.28820755,-9.31853925
AGO.14.14_1,AGO,18.26818374,-11.06890972
AGO.15.1_1,AGO,22.90811593,-12.21053713
AGO.15.2_1,AGO,20.23453406,-11.40895959
AGO.15.3_1,AGO,21.2633946,-11.83837079
AGO.15.4_1,AGO,20.57556254,-11.74380359
AGO.15.5_1,AGO,21.99959098,-10.901572
AGO.15.6_1,AGO,22.04654621,-11.66941001
AGO.15.7_1,AGO,19.5302394,-13.75196235
AGO.15.8_1,AGO,21.31907656,-14.210488
AGO.15.9_1,AGO,19.77677053,-12.32772058
AGO.16.1_1,AGO,13.13957664,-14.68579347
AGO.16.2_1,AGO,13.03240597,-14.00370159
AGO.16.3_1,AGO,12.45790531,-14.72031533
AGO.16.4_1,AGO,12.35856562,-16.56448621
AGO.16.5_1,AGO,12.94168326,-15.81354833
AGO.17.1_1,AGO,15.95354185,-7.83997209
AGO.17.2_1,AGO,14.46817907,-7.58744905
AGO.17.3_1,AGO,14.27766472,-7.05241729
AGO.17.4_1,AGO,15.82505929,-6.66837397
AGO.17.5_1,AGO,15.44711346,-7.39201775
AGO.17.6_1,AGO,15.21611705,-6.73071173
AGO.17.7_1,AGO,15.50291017,-6.12020345
