,n.per.household,mean.age.per.household,prop.over.50.per.household,prop.over.60.per.household,year,n
Namibia,5.265375556,32.0891128,0.402936717,0.220065476,2013,7840605.991
Rwanda,5.317109145,27.54154376,0.341256747,0.199546096,92,257096.493
Rwanda,4.620453727,28.22866403,0.370512774,0.209235497,2000,5649608.961
Rwanda,4.554174634,29.02581262,0.365839185,0.210028603,2005,6402009.073
Rwanda,4.267526882,30.66172043,0.400314601,0.216446314,2007.92043,4753384.469
Rwanda,4.446346757,29.96382927,0.380160691,0.196891401,2010.411864,8486417.035
Rwanda,4.355045002,31.54689721,0.397159311,0.21290296,2014.583373,8663946.683
Sierra Leone,6.443710432,25.01541426,0.289236056,0.148879238,2008,7414579.673
Sierra Leone,6.799119986,23.33042816,0.261136986,0.135997853,2013,12081108.17
Senegal,10.47708055,20.93591455,0.209789302,0.10668604,92.70226969,281845.1201
Senegal,10.40715815,20.93560722,0.215178884,0.113040132,97,423894.448
Senegal,10.68141052,20.55911129,0.199451087,0.099624051,2005,9996169.263
Senegal,10.9402875,20.55058975,0.197792774,0.100211365,2010.618872,11087530.47
Senegal,11.54120499,20.23355263,0.195566946,0.096641453,2012.63054,5907974.398
Senegal,11.06119658,20.12991453,0.201560642,0.094873918,2014,5985976.071
Senegal,10.77239305,20.62867647,0.209475877,0.102913704,2015,6126758.67
Senegal,10.87967644,20.67576677,0.206909877,0.101333451,2016,6078978.558
Senegal,10.94005259,21.08702892,0.209440848,0.104233867,2017,11697194.01
Swaziland,6.007575758,27.33089827,0.34517056,0.168090883,2006.220779,3771902.007
Chad,6.06287683,28.48578811,0.352141108,0.174202991,96.90913006,308789.171
Chad,6.311373874,26.54757883,0.320556579,0.15091719,2004,3620074.837
Chad,6.095558546,25.52843203,0.328976823,0.163858653,2014.6536,12171947.41
Togo,6.927688504,25.69066749,0.315731667,0.178294998,98,427515.6703
Togo,5.587746625,29.48039979,0.375057211,0.19379836,2013.673157,7897794.732
Tanzania,6.255915148,29.20709818,0.357995169,0.182320359,91.44112048,472290.2402
Tanzania,5.437225361,30.68973635,0.389367828,0.211083119,96,426055.5367
Tanzania,6.082488168,28.15246788,0.347264038,0.180699566,99,199314.3582
Tanzania,5.640841321,30.0765442,0.371955128,0.20333215,2004.330405,7668336.279
Tanzania,5.613226453,29.9757014,0.369553967,0.210554982,2009.920591,8171981.795
Tanzania,5.775004913,29.42817842,0.364587566,0.200863334,2015.234427,10442643.58
Uganda,5.045516614,30.37278107,0.405654804,0.208943764,95,290076.2731
Uganda,5.012241055,30.67349341,0.414046228,0.222564598,2000.526365,4328390.661
Uganda,5.296132597,28.49834254,0.379968932,0.219817332,2006,5542385.42
Uganda,5.365579303,27.41226097,0.356306978,0.193524515,2011,5454888.901
Uganda,5.03718593,29.77093802,0.395295972,0.217005075,2016,12252949.94
South Africa,4.789500423,33.52684166,0.417795021,0.232015309,98,814690.13
South Africa,4.104623356,38.97479075,0.483552292,0.270037912,2016,10341260.02
Zambia,5.941203076,29.98846676,0.380131176,0.193151739,92,286331.0285
Zambia,5.710834277,29.59343148,0.371818974,0.200445878,96.01019253,352016.9296
Zambia,5.597343296,28.8486924,0.364206336,0.216245056,2001.796181,4909114.807
Zambia,4.937219731,31.77847534,0.41294821,0.248847633,NA,85581.80473
Zambia,5.179829655,31.0232288,0.397538494,0.238028913,2013.419086,10596797.34
Zambia,5.307596822,30.2280288,0.38193944,0.22213618,2018.029047,8278219.717
