,n.per.household,median.age.per.household,prop.over.50.per.household,prop.over.60.per.household,year,n
Senegal,9.060657596,19.83928571,0.133615805,0.067948847,93,3528
Senegal,9.347862531,19.63579212,0.147405652,0.077436754,97,4772
Senegal,9.317188343,19.76339225,0.132016599,0.065941122,2005,7412
Senegal,9.778410529,19.22462668,0.135816704,0.068811297,2011,7902
Senegal,9.96239521,19.56538922,0.1352808,0.066850423,2013,4175
Senegal,9.624911368,19.25206807,0.139344098,0.065588799,2014,4231
Senegal,9.288849479,19.49700665,0.138938555,0.068259322,2015,4511
Senegal,9.382916385,19.58395312,0.138359614,0.067761179,2016,4437
Senegal,9.42124105,20.09200477,0.14258473,0.070961123,2017,8380
Swaziland,4.572166013,24.05420194,0.131710757,0.064140399,2006,4843
Chad,5.440497076,20.79378655,0.119542639,0.059137331,97,6840
Chad,5.515738499,19.7748184,0.106036224,0.049921574,2004,5369
Chad,5.780769454,17.90899594,0.113470564,0.056518066,2015,17233
Togo,5.874284954,20.96907011,0.135919605,0.076754372,98,7517
Togo,4.877683527,23.06409048,0.151295463,0.078176907,2014,9549
Tanzania,5.612225291,22.50186164,0.158081931,0.080508221,91,8327
Tanzania,5.047057347,22.78774947,0.155668955,0.084390867,96,7969
Tanzania,5.326417704,22.202213,0.14207566,0.073929366,99,3615
Tanzania,5.127991782,22.24329738,0.143509344,0.078450494,2004,9735
Tanzania,5.238906786,22.56406526,0.153305563,0.087346512,2010,9623
Tanzania,5.164371567,22.61334872,0.14768655,0.081365399,2015,12563
Uganda,4.771655629,20.69298013,0.118042862,0.060801252,95,7550
Uganda,4.813062777,20.19700622,0.111532554,0.059952721,2001,7885
Uganda,5.122773393,19.60797249,0.116303906,0.067283434,2006,8870
Uganda,4.979187424,19.79218335,0.105199901,0.057138258,2011,9033
Uganda,4.654227078,21.03714009,0.120477688,0.066138467,2016,19588
South Africa,4.319915081,27.7743529,0.201443586,0.111868245,98,12247
South Africa,3.505368583,31.78421813,0.218935794,0.122263849,2016,11083
Zambia,5.627798357,21.42163338,0.135363187,0.06878056,92,6209
Zambia,5.451688169,21.24341202,0.135183703,0.072876905,96,7286
Zambia,5.345074376,20.36591356,0.123122799,0.073103332,2002,7126
Zambia,4.9639866,20.90150775,0.128541947,0.077460947,NA,7164
Zambia,5.217211055,20.77927136,0.129000243,0.077239784,2013,15920
Zambia,5.101239186,20.97887928,0.119901182,0.069734591,2018,12831
