"HDI Rank","Country","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2007-2018",""
"MPI 2019: Contribution of Health
null
Dimension: Poverty
Definition: Percentage of the Multidimensional Poverty Index attributed to deprivations in the health dimension.
"185"," Burundi","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","23.3","a","..","","23.3","a"
"146"," Cambodia","..","","..","","..","","..","","..","","..","","..","","21.8","a","..","","..","","..","","..","","21.8","a"
"150"," Cameroon","..","","..","","..","","..","","..","","..","","..","","23.2","a","..","","..","","..","","..","","23.2","a"
"188"," Central African Republic","..","","..","","..","","27.8","a,d","..","","..","","..","","..","","..","","..","","..","","..","","27.8","a,d"
"187"," Chad","..","","..","","..","","..","","..","","..","","..","","..","","20.1","a","..","","..","","..","","20.1","a"
"85"," China","..","","..","","..","","..","","..","","..","","..","","35.2","a,f,g","..","","..","","..","","..","","35.2","a,f,g"
"79"," Colombia","..","","..","","..","","..","","..","","..","","..","","..","","..","","12.0","a,b","..","","..","","12.0","a,b"
"156"," Comoros","..","","..","","..","","..","","..","","20.8","a","..","","..","","..","","..","","..","","..","","20.8","a"
"138"," Congo","..","","..","","..","","..","","..","","..","","..","","..","","23.4","a","..","","..","","..","","23.4","a"
"179"," Congo (Democratic Republic of the)","..","","..","","..","","..","","..","","..","","..","","26.1","a","..","","..","","..","","..","","26.1","a"
"165"," Côte d'Ivoire","..","","..","","..","","..","","..","","..","","..","","..","","..","","19.6","a","..","","..","","19.6","a"
"89"," Dominican Republic","..","","..","","..","","..","","..","","..","","..","","29.1","a,b","..","","..","","..","","..","","29.1","a,b"
"85"," Ecuador","..","","..","","..","","..","","..","","..","","..","","40.8","a,d","..","","..","","..","","..","","40.8","a,d"
"116"," Egypt","..","","..","","..","","..","","..","","..","","..","","39.8","a,h","..","","..","","..","","..","","39.8","a,h"
"124"," El Salvador","..","","..","","..","","..","","..","","..","","..","","15.5","a","..","","..","","..","","..","","15.5","a"
"138"," Eswatini (Kingdom of)","..","","..","","..","","..","","..","","..","","..","","29.3","a","..","","..","","..","","..","","29.3","a"
"173"," Ethiopia","..","","..","","..","","..","","..","","..","","..","","..","","..","","19.7","a","..","","..","","19.7","a"
"115"," Gabon","..","","..","","..","","..","","..","","31.0","a","..","","..","","..","","..","","..","","..","","31.0","a"
"174"," Gambia","..","","..","","..","","..","","..","","..","","28.2","a","..","","..","","..","","..","","..","","28.2","a"
"142"," Ghana","..","","..","","..","","..","","..","","..","","..","","22.3","a","..","","..","","..","","..","","22.3","a"
"126"," Guatemala","..","","..","","..","","..","","..","","..","","..","","..","","26.3","a","..","","..","","..","","26.3","a"
"174"," Guinea","..","","..","","..","","..","","..","","..","","..","","..","","..","","18.7","a","..","","..","","18.7","a"
"178"," Guinea-Bissau","..","","..","","..","","..","","..","","..","","..","","21.3","a","..","","..","","..","","..","","21.3","a"
"123"," Guyana","..","","..","","..","","..","","..","","..","","..","","31.5","a","..","","..","","..","","..","","31.5","a"
"169"," Haiti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","18.5","a","..","","18.5","a"
"132"," Honduras","..","","..","","..","","..","","..","","18.5","a,i","..","","..","","..","","..","","..","","..","","18.5","a,i"
"129"," India","..","","..","","..","","..","","..","","..","","..","","..","","..","","31.9","a","..","","..","","31.9","a"
"111"," Indonesia","..","","..","","..","","..","","..","","23.2","a,b","..","","..","","..","","..","","..","","..","","23.2","a,b"
"120"," Iraq","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","33.1","a","33.1","a"
"96"," Jamaica","..","","..","","..","","..","","..","","..","","..","","42.1","a,c","..","","..","","..","","..","","42.1","a,c"
"102"," Jordan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","37.5","a","37.5","a"
"50"," Kazakhstan","..","","..","","..","","..","","..","","..","","..","","..","","90.4","a,d","..","","..","","..","","90.4","a,d"
"147"," Kenya","..","","..","","..","","..","","..","","..","","..","","24.9","a","..","","..","","..","","..","","24.9","a"
"122"," Kyrgyzstan","..","","..","","..","","..","","..","","..","","..","","52.8","a","..","","..","","..","","..","","52.8","a"
"140"," Lao People's Democratic Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","21.5","a","..","","21.5","a"
"164"," Lesotho","..","","..","","..","","..","","..","","..","","..","","20.6","a","..","","..","","..","","..","","20.6","a"
"176"," Liberia","..","","..","","..","","..","","..","","..","","19.7","a","..","","..","","..","","..","","..","","19.7","a"
